0,10,10,5,21,21,13,9,20,20,12,8,19,19,6,15,17,17,23,23,2,1,8,8,5,8,8,22,22,12,18,22,22,29,29,22,25,45,45,20,25,52,52,24,26,28,28,20,15,10,18,19,19,12,12,13,13,13,18,18,28,28,19,23,23,20,36,36,19,23,23,16,30,41,41,33,33,19,15,38,38,26,28,28,9,11,20,20,19,26,28,28,26,54,54,17,35,35,32,15,15,5,51,51,22,22,21,17,24,24,7,6,12,12,8,8,11,19,19,15,6,6,17,17,5,5,3,7,10,10,8,13,13,2,4,7,7,7,7,7,4,4,1,5,5,2,2,3,4,5,5,5,5,2,2,4,4,1,2,2,2,3,3,0,1,3,3,7,7,10,10,7,5,4,9,9,5,7,9,9,8,2,1,1,7,16,28,33,50,50,15,5,8,8,4,4,6,6,4,3,6,12,12,12,5,3,7,20,20,19,19,13,7,22,22,18,8,27,27,14,16,16,10,10,10,9,9,8,8,5,5,7,11,18,18,18,28,28,18,25,25,29,29,19,3,13,18,18,13,12,11,11,2,8,47,47,40,37,26,14,14,30,30,28,28,29,29,14,11,10,8,12,26,48,48,28,28,23,14,9,17,17,11,21,21,40,43,43,28,41,41,34,42,42,19,10,14,18,18,16,16,24,24,14,3,4,6,37,37,19,11,16,16,6,6,9,16,18,23,23,11,55,55,24,23,23,22,20,34,34,30,6,9,11,23,32,32,13,13,11,11,11,5,7,25,25,10,6,6,12,12,6,6,4,4,4,2,1,2,2,2,2,1,3,3,1,1,4,4,1,1,1,1,1,1,3,3,1,1,2,2,1,4,4,1,4,4,3,3,2,2,2,0,3,3,1,2,2,1,1,0
13,11,23,32,39,39,16,19,23,12,10,14,13,13,13,13,13,15,14,13,12,11,5,4,3,8,16,22,21,21,14,20,20,27,27,20,24,47,47,25,26,26,26,21,29,34,52,52,41,44,36,47,47,40,37,38,44,32,21,19,28,28,20,22,22,37,41,41,30,28,40,41,44,36,31,31,31,29,21,26,26,18,27,29,29,28,32,47,56,55,29,29,33,33,37,37,33,34,51,51,52,48,48,45,32,22,21,18,27,27,12,10,7,11,11,14,11,14,14,8,11,11,15,30,24,23,22,23,21,16,11,14,14,12,6,9,14,7,8,8,12,11,11,13,16,14,17,12,10,4,4,5,4,3,2,6,6,4,5,4,5,5,3,2,4,5,6,6,6,9,12,12,4,6,9,9,5,6,6,15,15,2,3,4,2,22,35,42,42,40,10,6,8,8,8,4,5,6,6,5,10,10,12,12,9,15,16,14,14,14,14,12,10,10,16,16,14,23,31,15,26,36,34,20,14,17,23,21,14,11,20,22,18,25,25,17,25,25,19,26,26,19,22,31,34,30,29,20,10,7,7,10,9,12,14,54,54,37,34,27,19,29,41,42,49,47,36,35,29,38,38,49,62,60,40,35,23,24,19,17,14,10,12,19,23,40,44,44,44,34,34,32,48,48,26,26,21,24,24,22,29,28,38,38,17,17,25,41,41,29,34,34,35,32,23,28,47,47,37,34,37,45,45,32,28,22,25,34,31,31,26,3,18,22,34,34,27,9,8,8,19,19,10,19,19,16,11,12,12,12,16,17,19,20,17,12,8,6,4,2,2,2,4,3,2,2,4,4,4,2,2,2,2,3,5,3,2,2,2,2,3,1,5,5,1,3,3,2,2,1,1,3,3,2,2,1,1,2,2,2,1
16,24,25,14,32,32,24,28,24,18,14,14,13,15,14,9,8,15,10,13,12,11,12,15,30,21,23,24,20,20,8,18,18,23,23,22,24,36,36,29,30,30,35,35,29,34,41,41,28,36,36,40,40,30,33,38,44,32,21,27,29,28,28,22,21,28,41,41,27,41,51,48,48,36,27,26,31,24,24,21,33,33,23,22,52,52,22,34,48,51,39,18,32,34,40,40,40,33,31,50,50,43,48,45,33,24,19,18,18,18,12,8,8,14,14,9,11,10,10,4,4,8,12,12,18,23,22,23,21,19,18,15,14,14,8,8,14,7,8,11,9,8,11,13,16,14,17,12,10,9,7,9,9,4,3,6,9,7,6,6,5,5,2,3,4,5,6,5,9,9,12,12,7,4,12,12,4,4,4,17,17,3,3,4,6,26,37,37,30,23,19,11,8,9,8,8,5,6,6,9,11,12,12,10,10,6,5,10,10,17,17,13,10,6,7,16,18,18,31,19,15,29,40,40,29,31,27,37,32,24,18,29,20,25,26,19,16,16,22,27,27,24,20,27,18,32,32,25,5,2,7,10,9,12,14,30,31,35,31,27,26,23,41,42,49,47,27,30,37,49,49,39,39,26,21,29,30,31,37,37,14,21,22,18,29,41,44,44,23,35,35,31,31,31,26,22,20,20,18,23,29,28,23,19,21,21,25,34,36,29,21,25,21,16,19,34,68,68,37,34,37,41,40,32,28,22,25,34,27,16,12,18,21,22,23,22,22,8,8,8,23,23,18,22,22,10,11,9,12,11,16,16,19,20,17,13,9,7,7,5,7,5,4,7,4,2,4,6,6,2,3,3,2,2,2,3,2,2,2,2,3,2,2,2,2,3,3,2,2,1,1,2,4,4,2,2,1,2,2,2,1
19,24,25,14,13,32,31,28,24,22,22,16,13,17,13,10,10,8,12,19,19,19,12,15,30,28,25,26,29,29,19,18,18,23,23,35,35,34,34,30,30,27,28,39,39,29,35,40,40,22,35,37,25,25,30,35,41,41,25,27,29,23,14,17,17,22,51,51,33,41,51,42,40,38,34,25,25,27,27,18,52,52,26,20,24,29,20,16,16,17,39,25,26,34,35,41,41,37,31,37,37,29,38,36,33,27,19,13,15,14,10,9,8,9,9,6,7,7,9,9,6,4,7,8,8,8,9,12,13,19,18,15,20,14,8,8,6,6,7,11,7,6,8,9,9,10,7,9,9,9,10,7,4,4,3,6,9,7,6,6,5,5,2,4,6,6,6,5,5,5,16,16,7,4,8,8,5,6,6,13,13,4,2,3,3,27,37,37,29,23,21,15,9,10,13,9,10,7,9,9,13,14,12,10,12,12,8,9,9,22,22,12,6,10,14,16,18,18,20,19,23,18,34,35,41,38,30,38,40,33,23,29,22,20,26,19,15,15,13,16,22,34,34,27,26,42,42,16,15,11,5,8,5,7,7,8,25,35,34,30,44,44,19,35,41,20,26,30,37,38,35,29,22,21,30,48,37,31,32,32,30,46,41,34,45,48,45,36,52,52,36,30,23,23,11,15,19,19,14,37,37,27,22,24,24,22,30,34,36,29,21,14,11,26,29,29,49,54,40,36,33,30,28,16,15,22,37,37,19,13,20,34,34,18,11,11,11,11,11,13,16,11,20,21,21,11,10,13,13,7,11,14,19,17,14,14,11,7,8,5,8,11,5,7,5,3,5,5,4,4,3,3,2,3,3,2,2,1,2,2,2,2,2,3,3,3,2,2,2,2,2,3,3,3,2,2,0,1,2,3,0
19,21,18,19,19,32,31,25,19,32,32,10,15,17,16,16,9,13,19,19,19,19,14,21,22,37,29,26,37,37,19,17,21,41,41,27,27,35,35,30,30,25,25,43,43,40,26,28,28,19,24,37,30,30,29,33,37,32,27,23,27,27,18,8,8,22,39,39,26,26,37,37,40,38,34,46,46,26,22,18,52,52,25,16,16,29,23,14,18,33,33,25,19,22,28,41,41,37,29,26,26,16,13,15,23,27,16,13,13,14,10,9,12,12,10,7,7,9,7,7,3,4,5,10,10,8,2,4,4,4,8,15,20,16,17,14,7,12,12,5,5,4,4,4,3,3,5,9,8,9,10,8,8,5,4,5,5,7,9,9,7,3,3,5,6,6,5,4,5,5,11,11,6,6,6,6,5,6,6,9,9,5,2,2,3,21,32,32,26,23,21,16,16,10,13,11,10,7,3,9,13,14,13,13,23,18,14,18,19,20,20,23,32,34,25,25,18,16,9,16,23,18,14,35,41,38,30,38,40,36,37,28,22,19,14,11,10,10,5,8,20,37,37,18,23,41,41,16,15,12,10,12,10,6,6,4,17,34,34,32,56,56,28,11,17,32,33,34,39,41,44,36,29,25,30,48,37,33,33,28,52,53,48,51,45,51,45,29,71,71,33,28,13,23,16,18,18,11,16,22,22,16,20,26,32,32,44,44,32,21,18,10,7,25,29,29,32,54,43,36,33,38,38,16,15,21,33,33,19,27,28,28,23,11,11,22,22,13,14,18,16,11,23,23,15,17,17,18,16,15,19,20,19,17,18,18,9,4,8,7,8,11,7,6,8,8,3,4,5,5,2,3,3,3,3,3,2,1,1,2,2,1,1,2,2,1,2,2,1,2,2,3,2,1,1,1,0,1,1,3,2
36,18,18,19,19,21,25,20,20,28,28,16,12,11,19,19,15,19,16,16,19,17,26,30,30,37,29,21,42,42,21,24,24,46,46,24,24,42,42,27,27,24,24,43,43,39,28,37,37,31,25,29,28,19,22,30,42,49,33,30,29,27,18,27,38,30,36,36,21,26,26,32,31,35,33,57,60,31,37,38,36,36,19,19,16,24,24,26,34,34,14,19,15,15,22,36,38,34,27,21,21,16,12,11,15,15,14,13,10,9,9,9,12,12,10,8,9,9,6,6,7,6,4,7,7,6,6,6,8,6,4,2,8,16,17,14,7,10,10,4,3,3,5,5,2,3,3,4,7,9,9,14,14,4,4,5,10,10,9,9,9,7,7,7,6,4,4,5,4,4,10,10,6,6,6,6,6,6,6,10,10,5,2,3,4,11,29,29,27,26,26,10,5,10,10,11,10,7,7,7,10,13,13,12,23,18,14,18,26,26,17,23,32,34,19,13,13,9,8,4,5,15,15,27,20,7,7,15,28,36,37,28,22,17,10,10,8,10,10,7,11,25,28,28,22,29,29,20,12,12,14,18,15,12,6,6,11,24,27,42,58,58,46,38,26,11,33,34,39,41,44,36,29,23,23,33,37,37,26,54,57,53,54,59,53,51,40,34,63,63,32,27,21,30,30,16,13,9,29,29,26,24,39,39,32,32,28,30,30,12,9,4,4,15,15,27,32,53,53,29,27,43,43,26,21,20,35,35,20,22,26,26,14,16,18,18,12,15,17,18,15,15,21,21,16,19,28,24,23,24,23,20,19,18,26,26,14,14,16,14,13,12,12,5,10,10,3,4,5,6,6,4,3,6,6,5,5,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2
36,18,25,25,24,21,20,20,20,27,27,16,12,4,15,15,15,19,16,16,16,25,27,26,26,22,29,21,43,43,26,27,27,55,55,28,28,26,24,23,23,29,29,38,38,37,28,37,37,31,24,12,23,23,14,10,19,49,35,30,29,43,43,38,40,45,40,33,21,26,26,39,39,15,13,22,60,56,39,38,26,21,21,14,23,47,47,26,27,12,13,13,14,16,22,25,24,21,18,17,17,11,12,11,9,9,9,8,8,9,9,7,6,9,7,8,9,5,6,6,7,6,4,9,9,8,10,10,9,6,4,4,8,8,4,9,13,12,12,4,4,3,3,3,3,3,2,3,4,5,9,13,13,10,6,3,12,12,5,6,9,7,7,8,8,6,6,5,5,7,7,8,8,8,7,5,5,7,7,5,10,10,3,3,6,6,37,39,39,23,17,13,11,9,19,19,13,11,7,5,6,9,12,12,10,10,12,15,28,28,15,15,10,8,15,12,13,21,20,11,5,14,14,9,8,8,6,22,22,13,20,19,19,15,15,11,8,6,12,12,11,20,24,27,27,25,25,14,7,6,18,18,18,12,9,12,11,8,27,42,60,60,53,57,57,47,16,22,39,48,53,47,35,23,19,34,34,32,26,55,57,46,54,59,53,36,24,30,52,52,31,24,21,32,32,13,14,14,32,32,32,34,34,46,46,32,32,31,30,24,20,12,7,14,14,14,16,51,51,27,25,25,38,36,28,28,49,49,20,16,22,22,14,15,15,10,14,19,21,18,18,18,18,13,16,19,28,26,27,26,24,20,21,22,21,23,21,14,16,14,13,12,12,14,12,11,7,4,2,6,6,4,3,3,8,9,5,3,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1
31,33,19,23,24,24,23,25,25,20,20,17,18,11,15,15,21,21,15,12,16,25,27,21,34,34,14,24,57,57,17,23,23,54,54,25,26,26,24,24,27,28,28,21,21,37,33,47,47,23,22,17,20,14,14,10,10,11,26,24,33,63,63,38,40,45,42,52,47,22,20,38,38,22,22,22,45,45,39,31,29,23,39,46,40,47,47,15,13,13,13,13,17,17,22,23,18,15,14,17,17,15,10,10,9,7,7,6,8,7,6,5,6,8,8,5,6,6,10,10,7,7,7,6,9,8,10,10,10,10,5,6,10,10,6,9,13,10,5,3,5,10,4,3,3,3,1,7,7,6,6,11,15,16,12,7,7,14,13,8,5,6,7,8,8,7,7,7,4,6,4,7,12,14,13,11,11,7,8,8,12,12,4,2,4,7,36,36,27,20,18,13,11,17,22,22,13,11,6,7,6,7,12,12,12,8,5,8,13,17,15,14,10,12,20,13,13,21,20,18,21,24,24,19,18,20,19,19,19,11,9,10,12,15,15,10,8,6,11,11,11,16,19,31,31,21,33,33,11,14,21,18,18,14,15,12,8,8,7,6,36,41,53,57,57,56,52,35,39,48,53,47,42,42,37,41,41,27,65,65,44,37,41,45,40,23,33,30,34,46,46,15,20,33,33,12,11,11,42,42,30,30,30,28,34,34,34,31,39,24,20,13,11,10,13,13,18,41,41,21,23,23,40,40,29,36,37,37,22,16,16,21,21,13,11,11,14,19,21,16,16,28,28,13,14,26,26,26,27,28,30,22,24,22,21,29,29,14,10,10,4,7,11,14,14,14,7,8,6,6,6,3,3,4,8,9,5,6,6,2,2,2,2,1,2,3,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2
29,46,23,23,21,21,24,24,22,14,17,17,18,11,9,19,13,13,13,13,14,15,6,15,22,22,7,23,60,60,21,26,26,50,50,25,25,25,29,29,27,26,26,27,24,25,33,45,45,16,21,21,14,14,17,17,14,18,18,5,32,35,58,58,41,42,42,52,47,22,31,30,30,31,31,26,32,32,26,26,32,36,39,46,40,36,28,26,17,21,29,29,17,20,22,23,18,15,14,13,13,7,4,4,6,7,7,6,8,11,11,5,6,7,7,6,6,6,10,10,8,7,8,8,9,5,4,3,6,6,5,6,6,9,9,6,4,10,7,4,5,10,7,6,6,5,2,6,6,6,5,5,15,16,12,7,18,21,13,8,7,5,8,10,6,5,7,7,5,5,3,7,12,14,13,11,11,12,11,7,7,10,10,2,2,8,29,33,33,26,30,22,15,14,20,20,10,4,6,7,4,6,8,11,11,10,10,10,11,9,9,8,11,12,23,28,24,28,33,22,21,24,24,19,18,20,19,11,12,11,9,12,17,17,15,19,24,22,14,14,13,15,21,21,19,19,40,40,12,20,21,19,17,14,15,9,9,11,11,14,12,27,35,43,48,56,57,57,51,36,30,35,41,45,37,67,67,31,51,38,9,24,29,21,18,48,48,30,27,48,48,15,19,21,21,15,7,7,47,47,27,26,26,19,34,34,34,29,45,45,19,15,19,24,20,23,23,31,34,34,35,37,46,46,33,33,32,33,33,14,16,22,22,6,11,11,14,13,13,10,20,22,22,12,15,20,20,18,27,28,30,22,24,23,23,31,31,10,12,10,7,7,5,6,12,12,6,8,6,5,5,4,4,3,2,4,4,7,7,4,3,3,2,1,2,3,2,2,3,3,1,2,2,2,2,2,1,2,2,1,2
14,47,22,23,23,30,30,15,19,22,17,16,15,15,17,19,17,20,18,18,14,15,9,22,25,22,11,13,33,52,52,29,29,47,47,26,27,29,29,25,24,33,29,27,28,28,32,31,40,40,31,40,38,30,26,18,16,15,20,20,31,37,63,63,26,24,13,22,43,38,33,27,27,19,33,33,24,25,24,24,32,31,30,30,38,36,28,31,36,30,34,34,13,20,19,21,19,15,8,6,8,8,4,4,5,8,8,4,4,11,11,5,4,4,6,6,6,6,7,7,8,7,8,8,7,8,6,7,4,6,7,7,5,8,8,7,7,8,6,11,7,6,12,12,7,7,5,8,6,6,6,6,12,6,6,14,18,21,13,11,7,9,9,10,9,10,5,5,4,4,5,4,3,3,2,6,11,12,11,9,6,8,8,2,2,4,14,22,29,26,30,22,15,18,20,20,11,10,5,4,4,3,5,11,15,15,10,10,17,17,7,5,9,38,38,28,29,28,33,22,14,10,14,14,14,17,14,11,17,15,11,12,7,14,24,27,26,25,20,13,13,13,33,33,21,20,31,31,12,21,21,23,23,12,9,9,12,14,16,15,12,13,10,17,22,31,57,57,53,56,46,21,41,45,30,56,56,41,43,38,30,31,32,27,26,28,18,16,27,48,48,14,11,12,28,28,7,7,54,54,20,19,19,29,29,22,17,18,36,36,23,25,30,35,34,23,33,48,48,34,35,37,34,28,30,34,34,32,32,17,17,22,22,12,14,17,16,15,9,15,16,16,13,13,15,10,24,24,17,13,14,18,18,22,22,36,36,23,14,9,9,7,7,5,7,7,5,5,6,6,3,3,3,3,3,12,10,7,7,4,5,5,1,1,2,2,1,1,5,5,1,1,1,2,2,1,1,1,2,2,1
