0,2,2,3,3,2,2,3,3,2,0,3,3,2,2,2,2,2,2,3,4,4,1,2,2,3,3,2,1,1,4,6,6,8,8,6,4,9,9,9,9,18,29,29,8,13,29,29,25,19,42,42,22,8,18,18,14,27,36,36,7,21,26,31,31,17,22,40,40,32,32,17,17,10,29,52,52,46,38,36,27,27,34,34,15,13,21,21,12,17,17,15,31,32,32,34,34,49,49,41,23,12,18,18,15,21,21,21,24,39,39,33,17,10,37,37,29,13,9,24,24,24,22,22,17,17,10,15,15,13,13,27,27,13,17,22,22,12,28,51,51,42,16,4,3,2,1,1,0,0,0,1,1,1,2,2,2,22,32,33,33,24,24,20,11,42,42,26,26,24,13,12,15,15,16,19,19,10,12,12,4,4,20,20,15,15,17,17,20,23,23,19,13,6,7,12,12,9,4,9,9,5,1,1,3,3,3,10,10,9,6,2,14,14,14,5,14,14,11,0,13,21,21,18,19,26,26,18,11,12,12,9,7,9,11,11,9,6,4,7,7,6,14,14,13,6,25,35,35,31,24,31,31,20,12,14,14,12,4,4,10,10,10,6,13,13,6,20,20,20,14,13,8,6,4,4,9,16,16,15,10,10,26,26,16,16,29,29,21,32,36,36,22,28,28,16,6,21,21,16,17,17,15,6,7,18,18,15,10,10,6,14,17,17,11,11,6,4,16,19,21,21,20,22,22,17,12,9,5,7,7,11,13,13,8,6,6,6,6,5,4,2,4,4,5,5,8,8,7,5,5,5,3,11,11,6,6,22,23,23,13,10,3,6,8,8,4,3,2,13,14,14,8,7,13,13,11,5,6,9,9,6,9,13,13,10,3,3,3,10,13,13,11,3,2,3,3,5,5,2,0
1,3,2,2,2,2,2,2,2,2,2,3,4,4,2,2,2,2,2,3,5,5,2,2,3,3,3,2,2,4,4,4,3,10,10,8,10,13,15,19,24,28,30,39,41,32,29,30,30,26,35,35,26,27,33,31,39,45,35,35,34,42,39,35,19,33,33,44,44,36,32,31,38,20,26,39,68,68,45,39,39,34,37,52,60,57,48,48,57,57,48,41,36,32,34,34,34,52,52,43,22,22,6,22,22,17,31,31,26,21,32,32,25,15,30,30,21,19,30,34,34,26,16,30,25,15,8,28,28,18,19,22,16,15,15,25,25,17,23,43,65,65,29,4,1,1,1,0,0,1,1,2,1,1,3,10,13,33,41,41,32,26,26,17,10,38,38,22,23,23,19,17,13,13,12,15,19,18,20,20,12,21,15,10,15,18,20,20,13,16,16,17,17,13,7,15,20,20,11,12,3,5,7,9,11,8,7,9,12,12,14,11,7,11,20,19,14,16,16,12,19,17,17,14,20,26,26,21,14,16,16,12,5,9,10,10,7,7,6,8,8,6,21,22,22,18,20,28,29,29,25,30,30,19,25,28,27,26,28,28,23,23,26,16,16,15,9,14,22,22,20,12,18,16,13,9,14,17,17,23,18,18,29,29,17,15,25,25,23,37,37,37,24,27,27,19,8,21,21,15,17,17,14,8,7,17,17,11,17,11,9,12,14,15,20,21,14,11,9,25,25,23,16,27,27,23,11,10,8,11,13,12,10,8,9,6,9,12,12,10,10,10,10,12,13,13,13,10,10,10,9,9,5,13,13,8,7,16,23,23,15,8,12,19,12,14,19,21,19,19,15,9,8,8,12,12,10,12,10,10,9,7,16,16,14,7,6,9,9,13,12,12,10,9,12,11,17,25,26,30,31
1,3,2,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,2,3,4,4,2,3,3,5,5,2,2,3,3,5,6,14,14,16,17,16,21,21,24,27,30,39,41,32,37,26,25,30,45,45,33,27,33,32,39,45,52,47,38,39,36,31,37,42,42,43,43,32,32,36,42,45,42,37,82,82,55,36,36,26,43,52,60,65,54,52,58,57,48,41,40,37,30,23,23,52,52,46,30,29,11,23,23,19,33,33,26,21,40,40,34,14,20,20,20,25,35,35,34,15,25,30,25,15,19,29,29,15,17,17,12,18,20,24,24,14,22,38,68,68,32,2,1,1,1,1,1,1,1,2,2,6,22,36,41,34,39,39,32,32,32,11,13,26,26,19,19,19,19,17,13,13,13,15,15,22,22,17,12,21,29,17,15,15,13,10,10,18,18,16,16,14,21,25,19,18,10,12,9,8,9,9,12,12,10,11,15,15,14,12,10,6,7,14,14,16,16,16,19,16,14,14,16,31,31,24,14,14,20,23,13,10,17,17,9,6,6,9,9,6,21,27,27,13,22,25,25,26,26,28,28,21,25,28,27,26,19,15,15,14,14,17,17,16,16,12,18,18,17,14,21,21,16,9,7,4,17,23,21,32,34,27,17,16,25,25,15,38,38,36,26,25,22,14,8,10,21,21,19,15,13,8,4,9,9,11,5,11,10,9,7,11,20,21,15,14,9,15,24,24,19,28,28,21,13,13,11,11,13,12,8,7,9,7,8,10,10,10,14,15,15,11,11,12,9,10,8,5,10,10,7,13,13,9,7,10,22,22,17,15,15,19,12,7,8,8,13,19,15,12,9,8,8,7,9,13,15,10,8,15,16,13,13,11,6,9,8,5,11,13,13,9,12,17,20,23,26,30,31
4,3,2,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,3,3,5,4,4,4,4,5,5,2,2,2,4,5,6,17,17,17,22,26,27,25,25,27,31,37,30,34,41,40,25,26,40,40,37,34,34,32,32,41,52,47,38,37,32,39,47,47,46,43,33,33,30,38,43,49,52,44,70,70,53,39,33,26,43,50,58,65,54,52,58,56,47,43,43,44,42,35,26,36,42,42,34,33,30,17,14,14,32,32,20,29,50,50,32,11,15,24,24,24,26,30,30,21,25,23,21,15,24,34,34,17,11,13,13,18,19,19,18,17,22,29,58,58,28,1,2,2,1,1,1,1,6,11,17,27,43,48,44,38,26,30,30,33,33,15,15,16,16,19,19,14,13,14,18,15,17,20,20,20,20,18,22,22,29,29,18,16,6,6,22,28,18,17,17,13,21,25,19,6,12,17,14,11,11,10,15,15,10,8,16,16,11,12,11,14,10,11,11,21,21,21,18,17,16,14,16,33,33,30,35,34,30,23,13,17,17,14,9,9,9,12,12,10,21,25,25,14,22,20,22,27,27,22,22,21,13,21,23,24,23,20,16,14,19,23,15,15,16,12,6,7,17,14,21,21,18,13,14,27,22,14,21,32,34,23,20,20,29,29,15,39,41,41,26,22,17,15,12,9,24,24,21,12,12,10,12,8,6,8,11,11,10,7,7,11,7,18,18,16,14,10,13,23,23,21,21,20,15,17,17,19,18,14,14,6,10,10,8,7,7,7,15,15,12,9,7,9,9,10,7,15,15,11,17,19,11,4,5,7,19,19,18,15,11,10,11,8,13,13,8,10,14,12,9,5,5,5,9,13,15,9,8,15,16,12,9,9,6,8,5,5,7,14,16,9,12,19,24,24,12,15,14
6,5,3,2,2,2,1,2,3,3,2,3,3,2,2,3,2,2,3,3,5,4,4,4,4,3,3,3,2,2,4,5,8,14,29,29,28,32,36,41,34,31,31,26,28,36,41,49,41,38,31,54,54,37,22,33,41,48,44,43,32,20,18,48,54,54,46,41,41,41,30,38,43,49,55,58,59,59,57,44,31,22,40,46,36,37,42,45,52,51,47,43,43,48,48,47,43,36,38,39,39,28,29,29,27,20,32,32,29,29,42,42,28,11,5,34,34,29,18,19,19,21,18,14,18,21,21,21,21,11,14,21,21,19,19,16,24,27,27,26,49,49,26,2,2,2,1,1,0,5,22,37,43,51,47,48,44,38,25,28,28,31,31,17,15,18,18,15,15,14,13,12,18,15,22,30,30,19,14,24,28,28,25,29,18,10,9,19,22,28,27,24,19,13,13,11,6,14,14,17,14,11,11,10,19,19,11,8,13,13,13,7,7,14,10,8,9,19,19,28,32,31,19,14,18,24,24,30,35,34,30,22,22,17,16,11,12,12,9,7,11,17,26,26,26,20,22,16,18,22,22,17,20,23,23,23,23,24,23,20,13,12,19,23,15,19,19,14,8,6,12,10,15,15,18,19,27,37,41,33,15,16,16,11,14,18,21,21,35,40,36,36,25,23,23,23,19,9,21,21,16,14,13,11,13,14,13,9,13,13,6,11,11,11,7,20,20,17,16,16,15,15,14,24,24,23,16,19,24,22,18,14,14,14,14,7,7,9,9,7,16,16,7,7,7,12,12,9,10,18,18,16,17,19,10,7,9,8,11,16,18,15,12,12,17,19,13,10,7,6,6,6,5,5,4,3,7,7,5,9,9,10,8,7,5,7,6,4,5,6,6,5,17,19,19,18,15,18,18,15,12
6,9,6,3,3,2,1,2,2,3,3,3,3,3,4,4,2,2,3,3,2,3,3,2,3,3,3,3,2,2,3,5,8,22,40,40,28,32,36,41,35,29,26,26,30,37,40,49,41,38,44,50,50,40,28,36,41,48,19,11,11,12,18,19,60,60,51,39,47,47,36,24,28,45,55,58,56,47,47,45,33,38,40,46,19,28,48,58,33,37,34,34,42,48,48,47,45,47,39,22,22,22,39,42,42,27,35,35,35,26,24,27,27,17,9,39,39,36,19,14,19,21,9,21,27,27,25,24,19,16,15,19,19,17,25,30,34,27,27,29,40,40,23,4,2,1,1,1,5,22,29,40,43,51,47,39,30,39,39,21,28,28,34,34,16,23,23,11,13,13,20,20,15,7,19,34,34,27,12,27,27,23,16,23,18,11,16,27,27,26,27,24,19,13,14,7,6,18,18,7,6,7,6,5,18,18,8,8,10,13,10,3,6,11,14,14,5,8,19,28,32,31,21,21,20,20,17,20,20,19,27,27,20,10,18,17,12,12,8,6,9,15,20,24,24,20,21,23,21,18,21,21,26,26,25,23,16,16,10,10,10,5,5,5,12,19,19,18,14,14,12,20,17,9,14,19,27,37,41,33,25,19,17,14,14,16,16,18,35,40,24,24,27,26,22,22,16,14,20,20,14,11,11,11,14,19,18,13,15,17,14,12,10,8,8,18,22,22,17,17,15,16,18,17,27,27,16,19,24,22,14,14,19,19,14,8,10,10,12,19,19,13,10,10,10,8,8,9,10,17,18,18,16,12,11,11,9,8,9,16,18,17,14,13,17,19,13,6,4,6,6,2,2,3,4,3,4,6,6,10,10,6,4,5,5,7,6,6,5,8,8,8,19,20,20,21,23,24,24,23,18
6,5,6,5,3,3,3,2,2,3,3,3,2,4,4,3,3,4,4,3,2,3,3,2,2,3,4,4,2,3,4,8,13,16,38,38,29,34,34,33,35,29,21,26,30,37,31,26,32,38,44,42,32,32,28,41,41,32,33,39,44,47,48,38,49,49,49,37,43,43,35,28,28,28,36,45,50,34,32,39,55,65,63,56,47,32,48,58,31,38,49,51,28,36,38,37,45,47,39,23,24,26,41,43,43,23,26,39,39,28,29,27,27,26,19,37,37,35,18,14,18,11,15,20,34,34,27,24,26,26,20,16,16,11,25,30,34,27,28,29,32,18,13,4,2,1,1,3,12,43,43,40,41,38,30,17,25,25,29,22,29,31,35,35,20,20,18,20,26,16,20,20,19,11,19,33,33,26,19,26,26,15,16,23,21,23,22,26,26,19,16,11,17,21,14,10,14,18,18,14,12,5,3,5,12,12,11,11,10,13,7,7,6,9,9,9,6,6,8,13,20,20,23,23,21,25,34,27,17,23,23,23,14,13,18,18,18,13,8,6,11,11,13,18,18,15,21,23,21,22,27,27,31,31,25,19,20,18,13,12,11,6,6,7,10,10,17,18,22,24,24,20,19,22,20,14,15,14,23,36,36,35,23,14,14,16,17,30,30,29,27,29,29,22,21,16,9,12,22,29,22,13,13,8,14,20,18,13,16,23,23,23,11,7,7,12,21,21,20,16,15,16,18,13,14,18,17,15,17,20,20,14,13,13,14,10,9,9,16,22,19,11,9,11,12,11,11,6,9,23,23,17,12,10,12,12,12,8,8,5,11,17,15,10,9,12,13,7,4,4,3,7,7,5,3,1,2,8,8,8,4,5,5,5,5,5,4,4,6,6,7,10,16,16,17,21,23,24,24,26,28
6,2,5,5,4,4,4,4,2,3,3,3,2,4,4,3,4,5,5,2,4,4,2,2,3,3,3,3,2,3,5,8,16,23,43,43,38,34,11,18,18,13,24,43,43,27,22,17,22,26,32,42,30,22,21,22,22,39,48,48,48,47,48,38,33,45,45,37,35,32,34,34,29,44,44,32,20,38,49,50,55,65,63,56,47,38,34,38,37,38,49,51,42,43,44,46,27,32,29,23,21,24,45,48,48,23,20,33,33,28,29,39,39,37,20,27,30,30,24,18,12,17,28,23,32,32,31,24,26,26,20,12,14,14,20,29,32,27,30,30,26,13,4,2,1,1,3,7,16,44,44,39,22,21,21,29,29,15,34,31,24,32,37,37,22,22,14,20,26,29,23,24,24,16,20,33,33,22,21,21,20,12,16,23,21,23,25,21,17,11,12,15,19,21,19,19,23,23,22,14,16,13,12,14,12,12,9,15,15,10,11,11,9,9,6,7,8,8,10,12,8,13,22,22,25,27,34,27,24,24,30,38,34,22,12,24,24,18,7,7,7,7,11,21,23,21,13,17,21,21,20,22,20,26,29,30,31,27,21,18,14,6,7,7,8,10,10,10,18,29,29,21,19,22,21,25,25,25,31,32,38,38,21,22,44,48,49,45,37,29,27,22,22,18,18,16,8,12,22,29,22,21,19,13,14,20,16,18,22,23,23,26,24,12,8,12,15,15,18,20,20,14,9,11,8,11,14,14,18,21,21,14,10,11,14,22,21,23,19,22,18,11,9,11,12,11,11,8,11,20,20,17,6,8,8,8,12,8,8,7,7,12,15,10,6,4,6,7,4,6,7,7,7,5,5,3,4,8,8,7,4,5,5,5,5,5,4,2,7,7,9,10,12,12,16,15,19,17,19,26,28
3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,2,4,4,4,3,4,4,4,4,3,2,3,4,5,3,5,6,19,27,30,46,46,29,34,31,18,18,28,43,43,28,10,17,22,22,22,22,22,22,19,32,39,42,48,48,48,44,36,30,22,31,38,38,34,46,46,39,20,54,54,34,21,38,49,50,54,64,62,48,43,41,38,58,62,57,50,33,42,43,44,46,33,32,32,21,21,12,22,59,59,40,22,31,31,24,22,32,32,33,32,29,20,23,24,18,31,31,28,32,31,31,28,21,18,16,16,13,11,17,17,23,14,24,28,22,16,5,1,2,2,3,5,11,22,24,39,39,30,23,23,32,32,24,34,36,36,26,36,36,20,14,14,26,26,29,24,23,20,11,19,26,29,33,26,20,16,22,22,17,24,24,25,20,9,9,13,15,19,16,21,21,22,25,25,12,16,19,18,14,15,15,11,14,14,12,10,10,10,7,4,7,7,10,10,14,15,10,17,19,25,27,23,23,23,28,30,38,34,22,18,26,26,17,13,12,10,6,8,14,23,21,18,16,19,20,17,22,22,15,29,30,31,27,24,18,17,17,12,11,10,8,7,10,16,29,29,23,10,13,21,25,25,25,31,33,31,29,34,34,44,48,49,45,37,29,24,19,19,13,14,14,10,5,8,22,22,22,19,12,12,17,17,21,26,26,20,26,27,23,19,19,13,13,12,21,21,21,11,11,8,7,15,15,14,17,17,17,12,5,14,22,24,26,19,13,10,10,11,11,5,10,14,17,21,22,19,8,11,8,8,8,12,12,11,7,6,6,8,9,6,7,9,6,8,11,7,6,5,5,8,8,6,7,9,7,4,4,6,6,6,5,2,2,5,5,9,9,9,11,11,12,14,13,19,22,21
3,4,4,3,1,3,4,3,3,3,3,3,3,3,3,2,3,3,4,4,4,4,3,3,3,3,5,5,5,5,8,9,18,28,29,31,31,30,34,31,26,27,32,42,42,25,17,23,30,30,22,13,13,12,21,32,43,42,48,48,46,39,28,24,22,21,35,37,37,50,50,37,24,49,49,32,21,31,42,45,47,43,77,77,58,39,61,60,62,57,56,61,53,35,26,32,33,33,39,46,44,43,31,57,57,43,21,31,31,26,24,31,34,34,34,31,21,15,15,20,44,44,33,32,31,23,17,17,14,10,10,16,16,5,17,23,24,24,25,15,5,4,2,2,2,4,15,20,23,22,37,37,34,24,21,29,29,30,30,47,47,21,26,35,35,16,16,28,28,14,24,25,19,17,22,28,35,33,26,20,21,25,25,23,26,26,20,7,10,11,13,12,11,23,23,23,16,26,26,14,13,19,18,14,14,14,13,14,14,13,10,12,12,8,4,5,7,14,14,14,15,12,14,12,19,14,17,24,26,28,30,31,31,31,22,23,23,23,20,22,25,18,11,7,17,20,20,15,17,21,23,24,24,22,26,27,26,30,30,22,20,20,19,13,10,7,7,13,16,26,26,21,9,8,10,7,16,25,27,33,31,11,47,47,45,46,49,33,13,10,19,23,23,11,7,14,12,11,7,21,21,20,13,10,10,14,14,19,24,16,19,19,27,26,28,21,18,9,7,12,27,27,21,9,8,9,11,12,12,15,18,18,10,10,11,21,24,26,18,9,9,8,8,6,12,19,23,24,24,22,13,10,14,11,7,8,10,10,9,5,3,4,6,6,6,8,14,16,12,11,7,4,4,6,8,8,6,9,9,5,4,4,4,4,7,7,8,11,10,8,9,9,6,8,11,10,7,7,17,20,17
